"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_1206_3216Metric";1;"100n";;;
2;"D1";"LED_1206_3216Metric";1;"LED";;;
3;"R10,R1";"R_1206_3216Metric";2;"100K";;;
4;"R9";"R_1206_3216Metric";1;"270";;;
5;"R8,R2";"R_1206_3216Metric";2;"10K";;;
6;"R7";"R_1206_3216Metric";1;"1K";;;
7;"R6";"R_1206_3216Metric";1;"2K2";;;
8;"R5";"R_1206_3216Metric";1;"3K3";;;
9;"R4";"R_1206_3216Metric";1;"8K8";;;
10;"R3";"R_1206_3216Metric";1;"220";;;
11;"RV1";"Potentiometer_ACP_CA9-V10_Vertical_Hole";1;"100K";;;
12;"U2";"Neo6";1;"GY-NEO6MV2";;;
13;"U1";"MP1854EN_board";1;"MP1584_DCDC";;;
14;"Q1";"TO-92_Inline";1;"2N7000";;;
15;"J1";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"DB9_Female";;;
16;"C2";"C_1206_3216Metric";1;"4u7";;;
17;"A1";"Arduino_Nano";1;"Arduino_Nano";;;
